generated_at_utc,game_date,event_id,game,player,player_id,stat,side,sportsbook,sportsbook_key,line,odds,projection,projection_edge,model_probability,implied_probability,probability_edge,expected_value_per_dollar,model_mae,feature_ready,deployment_status,source
2026-07-28T16:14:43.553575+00:00,2026-07-28,786c1161bd8d7bbab01efa2e850df8bb,Toronto Tempo @ Minnesota Lynx,Marina Mabrey,pl_7897ca9d575458b3,pts,OVER,FanDuel,fanduel,20.5,-106,9.74,-10.76,0.0181,0.5146,-0.4965,-0.9649,4.096,True,SHADOW_ONLY,sprint23_phase3_shadow
2026-07-28T16:14:43.553575+00:00,2026-07-28,786c1161bd8d7bbab01efa2e850df8bb,Toronto Tempo @ Minnesota Lynx,Marina Mabrey,pl_7897ca9d575458b3,pts,OVER,DraftKings,draftkings,20.5,-123,9.74,-10.76,0.0181,0.5516,-0.5335,-0.9673,4.096,True,SHADOW_ONLY,sprint23_phase3_shadow
2026-07-28T16:14:43.553575+00:00,2026-07-28,fa632e2d144f67960024500509077a4a,New York Liberty @ Los Angeles Sparks,Nneka Ogwumike,pl_84eaedaae32e85d7,pra,OVER,FanDuel,fanduel,30.5,-106,16.19,-14.31,0.0162,0.5146,-0.4984,-0.9686,5.336,True,SHADOW_ONLY,sprint23_phase3_shadow
2026-07-28T16:14:43.553575+00:00,2026-07-28,c2e520af9bd7e828a76959862d941068,Indiana Fever @ Seattle Storm,Dominique Malonga,pl_527d77821505a048,pts,OVER,FanDuel,fanduel,17.5,-118,6.59,-10.91,0.0168,0.5413,-0.5245,-0.969,4.096,True,SHADOW_ONLY,sprint23_phase3_shadow
2026-07-28T16:14:43.553575+00:00,2026-07-28,c2e520af9bd7e828a76959862d941068,Indiana Fever @ Seattle Storm,Dominique Malonga,pl_527d77821505a048,pts,OVER,DraftKings,draftkings,17.5,-118,6.59,-10.91,0.0168,0.5413,-0.5245,-0.969,4.096,True,SHADOW_ONLY,sprint23_phase3_shadow
2026-07-28T16:14:43.553575+00:00,2026-07-28,786c1161bd8d7bbab01efa2e850df8bb,Toronto Tempo @ Minnesota Lynx,Marina Mabrey,pl_7897ca9d575458b3,pra,OVER,DraftKings,draftkings,27.5,-120,13.19,-14.31,0.0162,0.5455,-0.5293,-0.9704,5.336,True,SHADOW_ONLY,sprint23_phase3_shadow
2026-07-28T16:14:43.553575+00:00,2026-07-28,c2e520af9bd7e828a76959862d941068,Indiana Fever @ Seattle Storm,Caitlin Clark,pl_f3cf364a08200b25,ast,OVER,FanDuel,fanduel,8.5,100,5.18,-3.32,0.0144,0.5,-0.4856,-0.9712,1.21,True,SHADOW_ONLY,sprint23_phase3_shadow
2026-07-28T16:14:43.553575+00:00,2026-07-28,606c87e74c7cc6048113e44a4f33506f,Portland Fire @ Las Vegas Aces,Jackie Young,pl_debf3ef806a91eba,pra,OVER,FanDuel,fanduel,28.5,-112,13.97,-14.53,0.0149,0.5283,-0.5134,-0.9718,5.336,True,SHADOW_ONLY,sprint23_phase3_shadow
2026-07-28T16:14:43.553575+00:00,2026-07-28,606c87e74c7cc6048113e44a4f33506f,Portland Fire @ Las Vegas Aces,Jackie Young,pl_debf3ef806a91eba,pra,OVER,DraftKings,draftkings,28.5,-119,13.97,-14.53,0.0149,0.5434,-0.5285,-0.9726,5.336,True,SHADOW_ONLY,sprint23_phase3_shadow
2026-07-28T16:14:43.553575+00:00,2026-07-28,c2e520af9bd7e828a76959862d941068,Indiana Fever @ Seattle Storm,Caitlin Clark,pl_f3cf364a08200b25,ast,OVER,DraftKings,draftkings,8.5,-111,5.18,-3.32,0.0144,0.5261,-0.5117,-0.9727,1.21,True,SHADOW_ONLY,sprint23_phase3_shadow
