archive_index,date,player,game,stat,alt_line,side,audit_classification,warehouse_game_id,warehouse_date,cardinality,classification,requested_stat_values,unique_requested_stat_values,safe_to_collapse,record_ids,sources,candidate_games,same_player_date_candidate_count,legacy_outcome,legacy_actual
890,2026-08-01,Natasha Cloud,Las Vegas Aces @ Chicago Sky,REB,3.5,UNDER,EXACT_MATCH,,2026-08-01,0,ZERO_MATCH,,0,False,,,,2,WIN,1.0
891,2026-08-01,Janelle Salaun,Toronto Tempo @ Golden State Valkyries,PR,16.5,UNDER,DATE_SHIFT_UNIQUE_MATCHUP,,2026-08-02,0,ZERO_MATCH,,0,False,,,,2,LOSS,27.0
892,2026-08-01,Elizabeth Williams,Las Vegas Aces @ Chicago Sky,RA,5.5,UNDER,EXACT_MATCH,,2026-08-01,0,ZERO_MATCH,,0,False,,,,2,WIN,4.0
893,2026-08-01,Kelsey Mitchell,Indiana Fever @ Minnesota Lynx,AST,2.5,UNDER,DATE_SHIFT_UNIQUE_MATCHUP,,2026-08-02,0,ZERO_MATCH,,0,False,,,,2,LOSS,3.0
894,2026-08-01,Courtney Williams,Indiana Fever @ Minnesota Lynx,REB,4.5,UNDER,DATE_SHIFT_UNIQUE_MATCHUP,,2026-08-02,0,ZERO_MATCH,,0,False,,,,2,WIN,4.0
895,2026-08-01,Janelle Salaun,Toronto Tempo @ Golden State Valkyries,3PM,2.5,UNDER,DATE_SHIFT_UNIQUE_MATCHUP,,2026-08-02,0,ZERO_MATCH,,0,False,,,,2,LOSS,4.0
896,2026-08-01,Aliyah Boston,Indiana Fever @ Minnesota Lynx,PR,25.5,UNDER,DATE_SHIFT_UNIQUE_MATCHUP,,2026-08-02,0,ZERO_MATCH,,0,False,,,,2,WIN,23.0
897,2026-08-01,Janelle Salaun,Toronto Tempo @ Golden State Valkyries,PR,15.5,UNDER,DATE_SHIFT_UNIQUE_MATCHUP,,2026-08-02,0,ZERO_MATCH,,0,False,,,,2,LOSS,27.0
898,2026-08-01,Chelsea Gray,Las Vegas Aces @ Chicago Sky,RA,9.5,UNDER,EXACT_MATCH,,2026-08-01,0,ZERO_MATCH,,0,False,,,,2,LOSS,10.0
899,2026-08-01,Aliyah Boston,Indiana Fever @ Minnesota Lynx,PR,24.5,UNDER,DATE_SHIFT_UNIQUE_MATCHUP,,2026-08-02,0,ZERO_MATCH,,0,False,,,,2,WIN,23.0
900,2026-08-01,Jackie Young,Las Vegas Aces @ Chicago Sky,REB,3.5,UNDER,EXACT_MATCH,,2026-08-01,0,ZERO_MATCH,,0,False,,,,2,LOSS,11.0
901,2026-08-01,Monique Akoa Makani,New York Liberty @ Phoenix Mercury,AST,2.5,UNDER,EXACT_MATCH,,2026-08-01,0,ZERO_MATCH,,0,False,,,,2,LOSS,3.0
904,2026-08-01,Caitlin Clark,Indiana Fever @ Minnesota Lynx,REB,3.5,OVER,DATE_SHIFT_UNIQUE_MATCHUP,,2026-08-02,0,ZERO_MATCH,,0,False,,,,2,LOSS,1.0
905,2026-08-01,Jonquel Jones,New York Liberty @ Phoenix Mercury,AST,2.5,OVER,EXACT_MATCH,,2026-08-01,0,ZERO_MATCH,,0,False,,,,2,WIN,5.0
906,2026-08-01,Aliyah Boston,Indiana Fever @ Minnesota Lynx,PTS,16.5,UNDER,DATE_SHIFT_UNIQUE_MATCHUP,,2026-08-02,0,ZERO_MATCH,,0,False,,,,2,WIN,15.0
907,2026-08-01,Natasha Cloud,Las Vegas Aces @ Chicago Sky,PR,13.5,UNDER,EXACT_MATCH,,2026-08-01,0,ZERO_MATCH,,0,False,,,,2,WIN,12.0
908,2026-08-01,Kamilla Cardoso,Las Vegas Aces @ Chicago Sky,REB,7.5,UNDER,EXACT_MATCH,,2026-08-01,0,ZERO_MATCH,,0,False,,,,2,LOSS,12.0
909,2026-08-01,Natasha Cloud,Las Vegas Aces @ Chicago Sky,3PM,1.5,UNDER,EXACT_MATCH,,2026-08-01,0,ZERO_MATCH,,0,False,,,,2,LOSS,2.0
910,2026-08-01,Courtney Williams,Indiana Fever @ Minnesota Lynx,RA,8.5,UNDER,DATE_SHIFT_UNIQUE_MATCHUP,,2026-08-02,0,ZERO_MATCH,,0,False,,,,2,LOSS,9.0
