archive_index,canonical_game_date,canonical_game_id,date,game,method,player,source,status
690,2026-07-25,401857320,2026-07-25,Indiana Fever @ Seattle Storm,local_raw_unique_player_game_same_date,Aliyah Boston,data/raw/boxscores_2026-07-25.csv,RESOLVED_LOCAL
691,2026-07-25,401857320,2026-07-25,New York Liberty @ Los Angeles Sparks,local_raw_unique_player_game_same_date,Breanna Stewart,data/raw/boxscores_2026-07-25.csv,RESOLVED_LOCAL
692,2026-07-25,401857320,2026-07-25,Portland Fire @ Las Vegas Aces,local_raw_unique_player_game_same_date,A'ja Wilson,data/raw/boxscores_2026-07-25.csv,RESOLVED_LOCAL
693,2026-07-25,401857320,2026-07-25,Atlanta Dream @ Dallas Wings,local_raw_unique_player_game_same_date,Jessica Shepard,data/raw/boxscores_2026-07-25.csv,RESOLVED_LOCAL
695,2026-07-25,401857320,2026-07-25,Toronto Tempo @ Minnesota Lynx,local_raw_unique_player_game_same_date,Natasha Howard,data/raw/boxscores_2026-07-25.csv,RESOLVED_LOCAL
696,2026-07-25,401857320,2026-07-25,Toronto Tempo @ Minnesota Lynx,local_raw_unique_player_game_same_date,Natasha Howard,data/raw/boxscores_2026-07-25.csv,RESOLVED_LOCAL
697,2026-07-25,401857320,2026-07-25,Toronto Tempo @ Minnesota Lynx,local_raw_unique_player_game_same_date,Natasha Howard,data/raw/boxscores_2026-07-25.csv,RESOLVED_LOCAL
698,2026-07-25,401857320,2026-07-25,Toronto Tempo @ Minnesota Lynx,local_raw_unique_player_game_same_date,Natasha Howard,data/raw/boxscores_2026-07-25.csv,RESOLVED_LOCAL
699,2026-07-28,401857093,2026-07-28,Toronto Tempo @ Minnesota Lynx,local_raw_unique_player_game_same_date,Kayla McBride,data/raw/boxscores_2026-07-28.csv,RESOLVED_LOCAL
700,2026-07-28,401857096,2026-07-28,New York Liberty @ Los Angeles Sparks,local_raw_unique_player_game_same_date,Sabrina Ionescu,data/raw/boxscores_2026-07-28.csv,RESOLVED_LOCAL
702,2026-07-28,401857094,2026-07-28,Indiana Fever @ Seattle Storm,local_raw_unique_player_game_same_date,Natisha Hiedeman,data/raw/boxscores_2026-07-28.csv,RESOLVED_LOCAL
705,2026-07-28,401857096,2026-07-28,New York Liberty @ Los Angeles Sparks,local_raw_unique_player_game_same_date,Sabrina Ionescu,data/raw/boxscores_2026-07-28.csv,RESOLVED_LOCAL
708,2026-07-28,401857096,2026-07-28,New York Liberty @ Los Angeles Sparks,local_raw_unique_player_game_same_date,Sabrina Ionescu,data/raw/boxscores_2026-07-28.csv,RESOLVED_LOCAL
712,2026-07-28,401857094,2026-07-28,Indiana Fever @ Seattle Storm,local_raw_unique_player_game_same_date,Aliyah Boston,data/raw/boxscores_2026-07-28.csv,RESOLVED_LOCAL
713,2026-07-28,401857094,2026-07-28,Indiana Fever @ Seattle Storm,local_raw_unique_player_game_same_date,Natisha Hiedeman,data/raw/boxscores_2026-07-28.csv,RESOLVED_LOCAL
714,2026-07-28,401857093,2026-07-28,Toronto Tempo @ Minnesota Lynx,local_raw_unique_player_game_same_date,Olivia Miles,data/raw/boxscores_2026-07-28.csv,RESOLVED_LOCAL
