team,stat,position,games_sampled,player_observations,allowed_avg
Seattle Storm,PR,G,3,4,30.5
Seattle Storm,PRA,F,2,3,19.3333
Seattle Storm,PRA,G,3,4,33.75
Seattle Storm,PTS,F,3,3,8.6667
Seattle Storm,PTS,G,3,4,24.75
Seattle Storm,RA,F,2,2,5.0
Seattle Storm,REB,F,4,5,4.2
Seattle Storm,REB,G,4,4,3.75
TEAM COOP,3PM,C,1,1,0.0
TEAM COOP,3PM,G,1,1,1.0
TEAM COOP,AST,F,1,1,5.0
TEAM COOP,PA,G,1,1,11.0
TEAM COOP,PR,G,1,1,11.0
TEAM COOP,PRA,G,1,1,14.0
TEAM COOP,PTS,G,1,1,8.0
TEAM COOP,RA,C,1,2,2.5
TEAM COOP,REB,C,1,2,2.0
TEAM SPOON,3PM,G,1,1,0.0
TEAM SPOON,PA,F,1,1,8.0
TEAM SPOON,PR,F,1,1,12.0
TEAM SPOON,PRA,F,1,1,12.0
TEAM SPOON,PTS,F,1,1,8.0
TEAM SPOON,REB,F,1,1,13.0
Toronto Tempo,3PM,F,2,2,3.0
Toronto Tempo,3PM,G,1,1,1.0
Toronto Tempo,AST,C,1,1,0.0
Toronto Tempo,AST,F,1,1,1.0
Toronto Tempo,AST,G,1,1,5.0
Toronto Tempo,PA,G,1,1,15.0
Toronto Tempo,PR,G,3,3,10.6667
Toronto Tempo,PRA,F,1,1,40.0
Toronto Tempo,PRA,G,2,2,14.5
Toronto Tempo,PTS,F,1,1,23.0
Toronto Tempo,PTS,G,2,2,7.0
Toronto Tempo,RA,C,1,1,10.0
Toronto Tempo,REB,C,1,1,6.0
Toronto Tempo,REB,F,2,2,9.5
Toronto Tempo,REB,G,3,4,2.5
Washington Mystics,3PM,F,2,2,1.5
Washington Mystics,3PM,G,1,1,2.0
Washington Mystics,AST,F,1,1,5.0
Washington Mystics,AST,G,1,1,3.0
Washington Mystics,PA,C,1,1,5.0
Washington Mystics,PA,G,1,1,21.0
Washington Mystics,PR,C,1,2,8.5
Washington Mystics,PR,G,1,1,20.0
Washington Mystics,PRA,C,1,1,13.0
Washington Mystics,PRA,G,1,1,23.0
Washington Mystics,PTS,C,1,1,4.0
Washington Mystics,PTS,F,1,1,9.0
Washington Mystics,PTS,G,2,2,10.0
Washington Mystics,RA,G,1,1,16.0
Washington Mystics,REB,C,1,1,5.0
Washington Mystics,REB,F,3,3,3.3333
