date,player,game,market,side,line,movement,steam,reverse_move
2026-08-13,Sabrina Ionescu,Los Angeles Sparks @ New York Liberty,PRA,UNDER,29.5,0.0,False,False
2026-08-13,Sabrina Ionescu,Los Angeles Sparks @ New York Liberty,PTS,OVER,17.5,0.0,False,False
2026-08-13,Sabrina Ionescu,Los Angeles Sparks @ New York Liberty,PTS,OVER,18.5,0.0,False,False
2026-08-13,Sabrina Ionescu,Los Angeles Sparks @ New York Liberty,PTS,OVER,19.5,0.0,False,False
2026-08-13,Sabrina Ionescu,Los Angeles Sparks @ New York Liberty,PTS,UNDER,18.5,0.0,False,False
2026-08-13,Sabrina Ionescu,Los Angeles Sparks @ New York Liberty,RA,OVER,9.5,0.0,False,False
2026-08-13,Sabrina Ionescu,Los Angeles Sparks @ New York Liberty,RA,UNDER,9.5,0.0,False,False
2026-08-13,Sabrina Ionescu,Los Angeles Sparks @ New York Liberty,REB,OVER,4.5,0.0,False,False
2026-08-13,Sabrina Ionescu,Los Angeles Sparks @ New York Liberty,REB,UNDER,4.5,0.0,False,False
2026-08-13,A'ja Wilson,Washington Mystics @ Las Vegas Aces,3PM,OVER,0.5,0.0,False,False
2026-08-13,A'ja Wilson,Washington Mystics @ Las Vegas Aces,3PM,UNDER,0.5,0.0,False,False
2026-08-13,A'ja Wilson,Washington Mystics @ Las Vegas Aces,AST,OVER,3.5,0.0,False,False
2026-08-13,A'ja Wilson,Washington Mystics @ Las Vegas Aces,AST,UNDER,3.5,0.0,False,False
2026-08-13,A'ja Wilson,Washington Mystics @ Las Vegas Aces,PA,OVER,28.5,0.0,False,False
2026-08-13,A'ja Wilson,Washington Mystics @ Las Vegas Aces,PA,UNDER,28.5,0.0,False,False
2026-08-13,A'ja Wilson,Washington Mystics @ Las Vegas Aces,PR,OVER,34.5,0.0,False,False
2026-08-13,A'ja Wilson,Washington Mystics @ Las Vegas Aces,PR,OVER,35.5,0.0,False,False
2026-08-13,A'ja Wilson,Washington Mystics @ Las Vegas Aces,PR,UNDER,34.5,0.0,False,False
2026-08-13,A'ja Wilson,Washington Mystics @ Las Vegas Aces,PR,UNDER,35.5,0.0,False,False
2026-08-13,A'ja Wilson,Washington Mystics @ Las Vegas Aces,PRA,OVER,38.5,0.0,False,False
2026-08-13,A'ja Wilson,Washington Mystics @ Las Vegas Aces,PRA,UNDER,38.5,0.0,False,False
2026-08-13,A'ja Wilson,Washington Mystics @ Las Vegas Aces,PTS,OVER,24.5,0.0,False,False
2026-08-13,A'ja Wilson,Washington Mystics @ Las Vegas Aces,PTS,OVER,25.5,0.0,False,False
2026-08-13,A'ja Wilson,Washington Mystics @ Las Vegas Aces,PTS,OVER,26.5,0.0,False,False
2026-08-13,A'ja Wilson,Washington Mystics @ Las Vegas Aces,PTS,UNDER,25.5,0.0,False,False
2026-08-13,A'ja Wilson,Washington Mystics @ Las Vegas Aces,RA,OVER,12.5,0.0,False,False
2026-08-13,A'ja Wilson,Washington Mystics @ Las Vegas Aces,RA,OVER,13.5,0.0,False,False
2026-08-13,A'ja Wilson,Washington Mystics @ Las Vegas Aces,RA,UNDER,12.5,0.0,False,False
2026-08-13,A'ja Wilson,Washington Mystics @ Las Vegas Aces,RA,UNDER,13.5,0.0,False,False
