archive_index,game_date,game_id,player,stat,side,alt_line,american_odds,target_win,market_probability,logistic_v5_probability,ridge_linear_probability,empirical_probability,knn_probability,ensemble_probability,train_rows,snapshot_count,book_count,books,opening_line,opening_odds,latest_line,latest_odds,reference_close_line,reference_close_odds,close_quality,line_move,price_move,elapsed_minutes,movement_class,steam_detected,reverse_move_vs_knn,first_moving_book,knn_implied_side
907,2026-08-01,401857105,Natasha Cloud,PR,UNDER,13.5,-116.0,1,0.537037,0.375887,0.451952,0.623457,0.173279,0.416593,95,1,0,,12.5,-114.0,12.5,-114.0,12.5,-114.0,INFERRED_LATEST,0.0,0.0,0.0,STABLE,False,False,,OVER
908,2026-08-01,401857105,Kamilla Cardoso,REB,UNDER,7.5,56.5,0,0.638978,0.661988,0.623189,0.712993,0.439814,0.608687,96,1,0,,7.5,55.0,7.5,55.0,7.5,55.0,INFERRED_LATEST,0.0,0.0,0.0,STABLE,False,False,,OVER
883,2026-08-01,401857106,Pauline Astier,REB,UNDER,2.5,-233.0,1,0.6997,0.81743,0.777256,0.8999,0.614264,0.756586,97,1,0,,2.5,-233.0,2.5,-233.0,2.5,-233.0,INFERRED_LATEST,0.0,0.0,0.0,STABLE,False,False,,UNDER
905,2026-08-01,401857106,Jonquel Jones,AST,OVER,2.5,57.25,1,0.63593,0.179443,0.257703,0.434199,0.558263,0.410678,98,0,0,,,,,,,,UNAVAILABLE,,,,NO_SNAPSHOT_MATCH,False,False,,
893,2026-08-02,401857107,Kelsey Mitchell,AST,UNDER,2.5,-133.0,0,0.570815,0.526054,0.557593,0.679161,0.488451,0.56048,99,1,0,,2.5,-118.0,2.5,-118.0,2.5,-118.0,INFERRED_LATEST,0.0,0.0,0.0,STABLE,False,False,,OVER
906,2026-08-02,401857107,Aliyah Boston,PTS,UNDER,16.5,-123.33,1,0.552232,0.281717,0.347168,0.4063,0.440514,0.4041,100,1,0,,15.5,-108.0,15.5,-108.0,15.5,-108.0,INFERRED_LATEST,0.0,0.0,0.0,STABLE,False,False,,OVER
933,2026-08-02,401857107,Kelsey Mitchell,AST,UNDER,2.5,-118.0,0,0.541284,0.370897,0.46771,0.669317,0.319643,0.465314,101,1,0,,2.5,-118.0,2.5,-118.0,2.5,-118.0,INFERRED_LATEST,0.0,0.0,0.0,STABLE,False,False,,OVER
947,2026-08-02,401857107,Aliyah Boston,PTS,UNDER,16.5,-123.5,1,0.552573,0.362863,0.401043,0.406413,0.720482,0.497362,102,1,0,,15.5,-108.0,15.5,-108.0,15.5,-108.0,INFERRED_LATEST,0.0,0.0,0.0,STABLE,False,False,,UNDER
948,2026-08-02,401857107,Aliyah Boston,PTS,UNDER,15.5,-108.5,1,0.520384,0.373209,0.414945,0.395683,0.60572,0.468152,103,1,0,,15.5,-108.0,15.5,-108.0,15.5,-108.0,INFERRED_LATEST,0.0,0.0,0.0,STABLE,False,False,,UNDER
915,2026-08-02,401857109,Charlisse Leger-Walker,PRA,UNDER,15.5,-133.0,1,0.570815,0.739751,0.713071,0.856938,0.840157,0.748614,104,1,0,,14.5,-124.0,14.5,-124.0,14.5,-124.0,INFERRED_LATEST,0.0,0.0,0.0,STABLE,False,False,,UNDER
