generated_at_utc,promotion_state,forward_predictions_total,graded_predictions,pending_predictions,explicit_close_predictions,explicit_clv_coverage_pct,v5_brier,market_brier,v5_ece_5bin,v5_accuracy,roi,production_ready,canonical_forward_markets_total,canonical_graded_markets,canonical_pending_markets,snapshot_ledger_rows,snapshot_graded_rows
2026-08-13T12:33:12.026846+00:00,SHADOW,7,0,7,0,0.0,,,,,,False,,,,,
2026-08-13T14:06:52.299656+00:00,SHADOW,7,0,7,0,0.0,,,,,,False,,,,,
2026-08-13T14:08:51.696830+00:00,SHADOW,7,0,7,0,0.0,,,,,,False,,,,,
2026-08-13T15:34:58.371593+00:00,SHADOW,7,0,7,0,0.0,,,,,,False,,,,,
2026-08-13T15:39:09.799477+00:00,SHADOW,7,0,7,0,0.0,,,,,,False,,,,,
2026-08-13T16:32:12.365736+00:00,SHADOW,7,0,7,0,0.0,,,,,,False,,,,,
2026-08-13T16:35:36.305304+00:00,SHADOW,7,0,7,0,0.0,,,,,,False,,,,,
2026-08-13T17:37:09.636482+00:00,SHADOW,7,0,7,0,0.0,,,,,,False,,,,,
2026-08-13T17:42:00.707863+00:00,SHADOW,7,0,7,0,0.0,,,,,,False,,,,,
2026-08-13T18:34:10.420128+00:00,SHADOW,7,0,7,0,0.0,,,,,,False,,,,,
2026-08-13T18:37:56.180560+00:00,SHADOW,7,0,7,0,0.0,,,,,,False,,,,,
2026-08-13T19:42:21.746392+00:00,SHADOW,7,0,7,0,0.0,,,,,,False,,,,,
2026-08-13T19:45:18.697507+00:00,SHADOW,7,0,7,0,0.0,,,,,,False,,,,,
2026-08-13T20:23:03.612612+00:00,SHADOW,7,0,7,0,0.0,,,,,,False,,,,,
2026-08-13T21:28:53.493632+00:00,SHADOW,7,0,7,0,0.0,,,,,,False,,,,,
2026-08-13T21:30:10.791269+00:00,SHADOW,7,0,7,0,0.0,,,,,,False,,,,,
2026-08-13T22:14:24.238576+00:00,SHADOW,65,0,65,0,0.0,,,,,,False,,,,,
2026-08-13T22:24:21.831535+00:00,SHADOW,65,0,65,0,0.0,,,,,,False,,,,,
2026-08-13T22:26:02.418234+00:00,SHADOW,123,0,123,0,0.0,,,,,,False,,,,,
2026-08-13T23:24:22.386906+00:00,SHADOW,181,0,181,0,0.0,,,,,,False,,,,,
2026-08-13T23:26:10.245843+00:00,SHADOW,239,0,239,0,0.0,,,,,,False,,,,,
2026-08-14T00:43:12.504936+00:00,SHADOW,297,0,297,125,42.09,,,,,,False,,,,,
2026-08-14T00:44:51.852028+00:00,SHADOW,355,0,355,150,42.25,,,,,,False,,,,,
