archive_index,game_date,game_id,player,stat,side,alt_line,american_odds,market_implied_probability,model_score,score_band,prior_games,prior_actual_mean,prior_actual_std,prior_actual_min,prior_actual_max,rolling3_actual_mean,rolling5_actual_mean,rolling10_actual_mean,rolling5_actual_std,rolling10_actual_std,rolling5_trend_slope,rolling10_trend_slope,line_minus_prior_mean,historical_hit_rate_at_current_line,historical_hit_rate_l5_at_current_line,historical_hit_rate_l10_at_current_line,target_actual,target_win,canonical_outcome,certification
73,2026-07-13,401857065,Nia Coffey,PRA,UNDER,15.5,-110.67,0.5253239663929368,,UNKNOWN,0,,,,,,,,,,,,,,,,8.0,1,WIN,PRIMARY_CERTIFIED
107,2026-07-13,401857065,Nia Coffey,PRA,UNDER,15.5,-116.33,0.5377432626080525,,UNKNOWN,0,,,,,,,,,,,,,,,,8.0,1,WIN,PRIMARY_CERTIFIED
71,2026-07-13,401857065,Nia Coffey,PTS,UNDER,7.5,-111.25,0.5266272189349113,,UNKNOWN,0,,,,,,,,,,,,,,,,5.0,1,WIN,PRIMARY_CERTIFIED
105,2026-07-13,401857065,Nia Coffey,PTS,UNDER,7.5,-113.0,0.5305164319248826,,UNKNOWN,0,,,,,,,,,,,,,,,,5.0,1,WIN,PRIMARY_CERTIFIED
86,2026-07-13,401857065,Nia Coffey,REB,UNDER,5.5,-129.0,0.5633187772925764,,UNKNOWN,0,,,,,,,,,,,,,,,,3.0,1,WIN,PRIMARY_CERTIFIED
119,2026-07-13,401857065,Nia Coffey,REB,UNDER,5.5,-131.0,0.5670995670995671,,UNKNOWN,0,,,,,,,,,,,,,,,,3.0,1,WIN,PRIMARY_CERTIFIED
130,2026-07-13,401857065,Valeriane Ayayi,PTS,UNDER,10.5,-127.33,0.5601108520652796,,UNKNOWN,0,,,,,,,,,,,,,,,,4.0,1,WIN,PRIMARY_CERTIFIED
167,2026-07-14,401857066,Aaliyah Edwards,PR,UNDER,13.5,-105.0,0.5121951219512195,,UNKNOWN,0,,,,,,,,,,,,,,,,29.0,0,LOSS,PRIMARY_CERTIFIED
159,2026-07-14,401857066,Bridget Carleton,3PM,UNDER,4.5,-178.0,0.6402877697841727,,UNKNOWN,0,,,,,,,,,,,,,,,,2.0,1,WIN,PRIMARY_CERTIFIED
169,2026-07-14,401857066,Bridget Carleton,PA,UNDER,18.5,-120.0,0.5454545454545454,,UNKNOWN,0,,,,,,,,,,,,,,,,15.0,1,WIN,PRIMARY_CERTIFIED
187,2026-07-14,401857066,Bridget Carleton,PR,UNDER,19.5,-110.0,0.5238095238095238,,UNKNOWN,0,,,,,,,,,,,,,,,,15.0,1,WIN,PRIMARY_CERTIFIED
189,2026-07-14,401857066,Bridget Carleton,PRA,UNDER,21.5,-110.0,0.5238095238095238,,UNKNOWN,0,,,,,,,,,,,,,,,,18.0,1,WIN,PRIMARY_CERTIFIED
