player_id,season,team,source_player_id,player,team_abbr,position,source_system,source_file
pl_c8c0e0c1fb9ec4ed,2025,Wings,4066548,DiJonai Carrington,DAL,G,sportsdataverse,player_profiles_2025.csv
pl_c8c0e0c1fb9ec4ed,2026,Sky,4066548,DiJonai Carrington,CHI,G,espn_api,player_profiles_2026.csv
pl_c92605221f287763,2026,Aces,4565501,Janiah Barker,LV,F,espn_api,player_profiles_2026.csv
pl_c9f19dfe116cd058,2024,Dream,3054590,Nia Coffey,ATL,F,sportsdataverse,player_profiles_2024.csv
pl_c9f19dfe116cd058,2025,Dream,3054590,Nia Coffey,ATL,F,sportsdataverse,player_profiles_2025.csv
pl_c9f19dfe116cd058,2026,Lynx,3054590,Nia Coffey,MIN,F,espn_api,player_profiles_2026.csv
pl_ca00b30dabc6a2b2,2025,Sparks,4433795,Sania Feagin,LA,F,sportsdataverse,player_profiles_2025.csv
pl_ca00b30dabc6a2b2,2026,Fire,4433795,Sania Feagin,POR,F,espn_api,player_profiles_2026.csv
pl_ca00b30dabc6a2b2,2026,Sparks,4433795,Sania Feagin,LA,F,espn_api,player_profiles_2026.csv
pl_cbf7a58f0b134d5d,2026,NIGERIA,5346853,Suzie Rafiu,NIGER,F,espn_api,player_profiles_2026.csv
pl_cd3e3b2fb01eedd6,2026,Sun,4898898,Gianna Kneepkens,CON,G,espn_api,player_profiles_2026.csv
pl_cdfca6023e460043,2024,Liberty,981,Courtney Vandersloot,NY,G,sportsdataverse,player_profiles_2024.csv
pl_cdfca6023e460043,2025,Sky,981,Courtney Vandersloot,CHI,G,sportsdataverse,player_profiles_2025.csv
pl_cdfca6023e460043,2026,Sky,981,Courtney Vandersloot,CHI,G,espn_api,player_profiles_2026.csv
pl_cf44942fa218c36d,2025,Fever,4280877,Chloe Bibby,IND,F,sportsdataverse,player_profiles_2025.csv
pl_cf44942fa218c36d,2025,Valkyries,4280877,Chloe Bibby,GS,F,sportsdataverse,player_profiles_2025.csv
pl_cf44942fa218c36d,2026,Fire,4280877,Chloe Bibby,POR,F,espn_api,player_profiles_2026.csv
pl_cf44942fa218c36d,2026,Sky,4280877,Chloe Bibby,CHI,F,espn_api,player_profiles_2026.csv
pl_d171b830a47daf25,2026,Lynx,5345478,Eliska Hamzova,MIN,G,espn_api,player_profiles_2026.csv
pl_d1bd55a6b654a0bf,2024,Dream,4398751,Destanni Henderson,ATL,G,sportsdataverse,player_profiles_2024.csv
pl_d1d9dc04abd5ad0e,2024,Lynx,2987891,Courtney Williams,MIN,G,sportsdataverse,player_profiles_2024.csv
pl_d1d9dc04abd5ad0e,2025,Lynx,2987891,Courtney Williams,MIN,G,sportsdataverse,player_profiles_2025.csv
pl_d1d9dc04abd5ad0e,2025,TEAM COLLIER,2987891,Courtney Williams,COL,G,sportsdataverse,player_profiles_2025.csv
pl_d1d9dc04abd5ad0e,2026,Lynx,2987891,Courtney Williams,MIN,G,espn_api,player_profiles_2026.csv
pl_d1d9dc04abd5ad0e,2026,TEAM SPOON,2987891,Courtney Williams,SPO,G,espn_api,player_profiles_2026.csv
pl_d4809954b4ed0d21,2024,Liberty,4398768,Nyara Sabally,NY,F,sportsdataverse,player_profiles_2024.csv
pl_d4809954b4ed0d21,2025,Liberty,4398768,Nyara Sabally,NY,F,sportsdataverse,player_profiles_2025.csv
pl_d4809954b4ed0d21,2026,Tempo,4398768,Nyara Sabally,TOR,F,espn_api,player_profiles_2026.csv
pl_d525fce75862cd33,2025,Sky,4433424,Maddy Westbeld,CHI,F,sportsdataverse,player_profiles_2025.csv
pl_d525fce75862cd33,2026,Sky,4433424,Maddy Westbeld,CHI,F,espn_api,player_profiles_2026.csv
pl_d638431d28651af3,2026,Sky,4594786,Sydney Taylor,CHI,G,espn_api,player_profiles_2026.csv
pl_d64042b13c2c2df1,2026,NIGERIA,5238309,Shay Ijiwoye,NIGER,G,espn_api,player_profiles_2026.csv
pl_d8206ef79a2289ec,2024,Fever,2569044,Temi Fagbenle,IND,C,sportsdataverse,player_profiles_2024.csv
pl_d8206ef79a2289ec,2025,Valkyries,2569044,Temi Fagbenle,GS,C,sportsdataverse,player_profiles_2025.csv
pl_d8206ef79a2289ec,2026,Tempo,2569044,Temi Fagbenle,TOR,C,espn_api,player_profiles_2026.csv
pl_d894f0bc96beccd5,2025,Mystics,4898384,Kiki Iriafen,WSH,F,sportsdataverse,player_profiles_2025.csv
pl_d894f0bc96beccd5,2025,TEAM CLARK,4898384,Kiki Iriafen,CLA,F,sportsdataverse,player_profiles_2025.csv
pl_d894f0bc96beccd5,2026,Mystics,4898384,Kiki Iriafen,WSH,F,espn_api,player_profiles_2026.csv
pl_d894f0bc96beccd5,2026,TEAM SPOON,4898384,Kiki Iriafen,SPO,F,espn_api,player_profiles_2026.csv
pl_db785457f18d4c90,2026,Tempo,4398589,Elizabeth Balogun,TOR,G,espn_api,player_profiles_2026.csv
pl_dbcf6bd45e0737b7,2026,Tempo,4874475,Nikolina Milic,TOR,F,espn_api,player_profiles_2026.csv
pl_dcd582192f8052ff,2026,Lynx,3913680,Emese Hof,MIN,C,espn_api,player_profiles_2026.csv
pl_dd400f803bd2adfa,2025,Valkyries,4790263,Iliana Rupert,GS,C,sportsdataverse,player_profiles_2025.csv
pl_dd400f803bd2adfa,2026,Valkyries,4790263,Iliana Rupert,GS,C,espn_api,player_profiles_2026.csv
pl_ddbde04826e4f1f1,2025,Valkyries,5208982,Carla Leite,GS,G,sportsdataverse,player_profiles_2025.csv
pl_ddbde04826e4f1f1,2026,Fire,5208982,Carla Leite,POR,G,espn_api,player_profiles_2026.csv
pl_de0167a43a063eca,2024,Aces,4398907,Kate Martin,LV,G,sportsdataverse,player_profiles_2024.csv
pl_de0167a43a063eca,2025,Valkyries,4398907,Kate Martin,GS,G,sportsdataverse,player_profiles_2025.csv
pl_de0167a43a063eca,2026,Sparks,4398907,Kate Martin,LA,G,espn_api,player_profiles_2026.csv
pl_de21f6f1b148757b,2024,Storm,4432830,Jordan Horston,SEA,F,sportsdataverse,player_profiles_2024.csv
pl_de21f6f1b148757b,2026,Storm,4432830,Jordan Horston,SEA,F,espn_api,player_profiles_2026.csv
pl_de5d739ff60bca42,2024,Lynx,4038390,Olivia Epoupa,MIN,G,sportsdataverse,player_profiles_2024.csv
pl_debf3ef806a91eba,2024,Aces,4065870,Jackie Young,LV,G,sportsdataverse,player_profiles_2024.csv
pl_debf3ef806a91eba,2024,Team USA,4065870,Jackie Young,USA,G,sportsdataverse,player_profiles_2024.csv
pl_debf3ef806a91eba,2025,Aces,4065870,Jackie Young,LV,G,sportsdataverse,player_profiles_2025.csv
pl_debf3ef806a91eba,2025,TEAM CLARK,4065870,Jackie Young,CLA,G,sportsdataverse,player_profiles_2025.csv
pl_debf3ef806a91eba,2026,Aces,4065870,Jackie Young,LV,G,espn_api,player_profiles_2026.csv
pl_debf3ef806a91eba,2026,TEAM COOP,4065870,Jackie Young,COOP,G,espn_api,player_profiles_2026.csv
pl_df662445ef18615f,2024,Liberty,2593770,Betnijah Laney-Hamilton,NY,G,sportsdataverse,player_profiles_2024.csv
pl_df662445ef18615f,2026,Liberty,2593770,Betnijah Laney-Hamilton,NY,G,espn_api,player_profiles_2026.csv
pl_e0bd46be06de16d0,2024,Sky,4065820,Kysre Gondrezick,CHI,G,sportsdataverse,player_profiles_2024.csv
pl_e15db08c2d4062f0,2026,Mystics,5105737,Lauren Betts,WSH,C,espn_api,player_profiles_2026.csv
pl_e18364cddf6ba727,2025,Lynx,4329370,Maria Kliundikova,MIN,F,sportsdataverse,player_profiles_2025.csv
pl_e206fbb42b391098,2026,Sparks,4874375,Jihyun Park,LA,F,espn_api,player_profiles_2026.csv
pl_e21b306a828bce50,2026,Liberty,4790260,Marine Fauthoux,NY,G,espn_api,player_profiles_2026.csv
pl_e22cb1c86ccb7116,2024,Dream,2531437,Ezinne Kalu,ATL,G,sportsdataverse,player_profiles_2024.csv
pl_e22cb1c86ccb7116,2026,NIGERIA,2531437,Ezinne Kalu,NIGER,G,espn_api,player_profiles_2026.csv
pl_e331693d32cc2fb1,2025,Lynx,5220147,Marieme Badiane,MIN,C,sportsdataverse,player_profiles_2025.csv
pl_e38da4e11c9f06cb,2026,Fever,4433797,Raven Johnson,IND,G,espn_api,player_profiles_2026.csv
pl_e3be1f6fa5b431ec,2026,Tempo,3904479,Mariella Fasoula,TOR,C,espn_api,player_profiles_2026.csv
pl_e49d761a397e4cf3,2024,Dream,3142250,Jordin Canada,ATL,G,sportsdataverse,player_profiles_2024.csv
pl_e49d761a397e4cf3,2025,Dream,3142250,Jordin Canada,ATL,G,sportsdataverse,player_profiles_2025.csv
pl_e49d761a397e4cf3,2026,Dream,3142250,Jordin Canada,ATL,G,espn_api,player_profiles_2026.csv
pl_e5a9bb4aa8823cad,2024,Sparks,3099736,Stephanie Talbot,LA,F,sportsdataverse,player_profiles_2024.csv
pl_e5a9bb4aa8823cad,2025,Liberty,3099736,Stephanie Talbot,NY,F,sportsdataverse,player_profiles_2025.csv
pl_e5a9bb4aa8823cad,2025,Valkyries,3099736,Stephanie Talbot,GS,F,sportsdataverse,player_profiles_2025.csv
pl_e5a9bb4aa8823cad,2026,Aces,3099736,Stephanie Talbot,LV,F,espn_api,player_profiles_2026.csv
pl_e5acf7785f7b5107,2024,Mystics,2566110,Julie Vanloo,WSH,G,sportsdataverse,player_profiles_2024.csv
pl_e5acf7785f7b5107,2025,Sparks,2566110,Julie Vanloo,LA,G,sportsdataverse,player_profiles_2025.csv
pl_e5acf7785f7b5107,2025,Valkyries,2566110,Julie Vanloo,GS,G,sportsdataverse,player_profiles_2025.csv
pl_e5acf7785f7b5107,2026,Liberty,2566110,Julie Vanloo,NY,G,espn_api,player_profiles_2026.csv
