candidate_id,player,archive_date,archive_game,stat,side,line,classification,candidate_count,top_candidate_date,top_candidate_game,top_candidate_game_id,top_evidence_score,top_evidence
2026-07-19|shakira austin|washington mystics @ golden state valkyries|pr|over|22.5||-130.0,Shakira Austin,2026-07-19,Washington Mystics @ Golden State Valkyries,PR,OVER,22.5,ambiguous_tie,6,2026-07-20,Mystics @ Valkyries,401857084,60,"matchup tokens: mystics, valkyries | adjacent date"
2026-07-19|janelle salaun|washington mystics @ golden state valkyries|3pm|over|1.5||-177.0,Janelle Salaun,2026-07-19,Washington Mystics @ Golden State Valkyries,3PM,OVER,1.5,ambiguous_tie,3,2026-07-20,Mystics @ Valkyries,401857084,60,"matchup tokens: mystics, valkyries | adjacent date"
2026-07-19|shakira austin|washington mystics @ golden state valkyries|pra|over|25.5||-128.0,Shakira Austin,2026-07-19,Washington Mystics @ Golden State Valkyries,PRA,OVER,25.5,ambiguous_tie,6,2026-07-20,Mystics @ Valkyries,401857084,60,"matchup tokens: mystics, valkyries | adjacent date"
2026-07-21|kayla mcbride|minnesota lynx @ seattle storm|ast|under|2.5||-186.0,Kayla McBride,2026-07-21,Minnesota Lynx @ Seattle Storm,AST,UNDER,2.5,ambiguous_tie,5,2026-07-22,Lynx @ Storm,401857087,60,"matchup tokens: lynx, storm | adjacent date"
2026-07-21|natisha hiedeman|minnesota lynx @ seattle storm|3pm|under|2.5||-197.0,Natisha Hiedeman,2026-07-21,Minnesota Lynx @ Seattle Storm,3PM,UNDER,2.5,ambiguous_tie,5,2026-07-22,Lynx @ Storm,401857087,60,"matchup tokens: lynx, storm | adjacent date"
2026-07-21|natasha howard|minnesota lynx @ seattle storm|ast|over|2.5||-168.75,Natasha Howard,2026-07-21,Minnesota Lynx @ Seattle Storm,AST,OVER,2.5,ambiguous_tie,6,2026-07-22,Lynx @ Storm,401857087,60,"matchup tokens: lynx, storm | adjacent date"
2026-07-21|courtney williams|minnesota lynx @ seattle storm|3pm|under|1.5||-201.5,Courtney Williams,2026-07-21,Minnesota Lynx @ Seattle Storm,3PM,UNDER,1.5,ambiguous_tie,6,2026-07-22,Lynx @ Storm,401857087,60,"matchup tokens: lynx, storm | adjacent date"
2026-07-21|natasha howard|minnesota lynx @ seattle storm|pr|under|23.5||-121.5,Natasha Howard,2026-07-21,Minnesota Lynx @ Seattle Storm,PR,UNDER,23.5,ambiguous_tie,6,2026-07-22,Lynx @ Storm,401857087,60,"matchup tokens: lynx, storm | adjacent date"
2026-07-21|kayla mcbride|minnesota lynx @ seattle storm|reb|under|3.5||-179.5,Kayla McBride,2026-07-21,Minnesota Lynx @ Seattle Storm,REB,UNDER,3.5,ambiguous_tie,5,2026-07-22,Lynx @ Storm,401857087,60,"matchup tokens: lynx, storm | adjacent date"
2026-07-21|natasha howard|minnesota lynx @ seattle storm|pra|under|26.5||-118.33,Natasha Howard,2026-07-21,Minnesota Lynx @ Seattle Storm,PRA,UNDER,26.5,ambiguous_tie,6,2026-07-22,Lynx @ Storm,401857087,60,"matchup tokens: lynx, storm | adjacent date"
2026-07-21|natisha hiedeman|minnesota lynx @ seattle storm|3pm|under|1.5||144.0,Natisha Hiedeman,2026-07-21,Minnesota Lynx @ Seattle Storm,3PM,UNDER,1.5,ambiguous_tie,5,2026-07-22,Lynx @ Storm,401857087,60,"matchup tokens: lynx, storm | adjacent date"
