row_number,candidate_id,date,player,game,stat,side,line,outcome,category,reason,existing_grading_reason
273,2026-07-16|lexie hull|seattle storm @ indiana fever|reb|under|3.5||-107.0,2026-07-17,Lexie Hull,Seattle Storm @ Indiana Fever,REB,UNDER,3.5,WIN,graded,final outcome WIN,
274,2026-07-16|shakira austin|portland fire @ washington mystics|ast|under|3.5||-145.0,2026-07-16,Shakira Austin,Portland Fire @ Washington Mystics,AST,UNDER,3.5,LOSS,graded,final outcome LOSS,
275,2026-07-16|natisha hiedeman|seattle storm @ indiana fever|ast|under|4.5||-114.0,2026-07-17,Natisha Hiedeman,Seattle Storm @ Indiana Fever,AST,UNDER,4.5,LOSS,graded,final outcome LOSS,
276,2026-07-16|nneka ogwumike|los angeles sparks @ chicago sky|pts|over|16.5||-118.5,2026-07-17,Nneka Ogwumike,Los Angeles Sparks @ Chicago Sky,PTS,OVER,16.5,WIN,graded,final outcome WIN,
277,2026-07-16|sabrina ionescu|new york liberty @ dallas wings|ast|under|5.5||-165.67,2026-07-16,Sabrina Ionescu,New York Liberty @ Dallas Wings,AST,UNDER,5.5,PENDING,game_mapping_failed,player exists in actuals warehouse but not on archive date,player-game actual unavailable
278,2026-07-16|rhyne howard|atlanta dream @ toronto tempo|pa|under|22.5||-115.5,2026-07-17,Rhyne Howard,Atlanta Dream @ Toronto Tempo,PA,UNDER,22.5,WIN,graded,final outcome WIN,
279,2026-07-16|shakira austin|portland fire @ washington mystics|pa|under|18.5||-111.5,2026-07-16,Shakira Austin,Portland Fire @ Washington Mystics,PA,UNDER,18.5,LOSS,graded,final outcome LOSS,
280,2026-07-16|courtney vandersloot|los angeles sparks @ chicago sky|pra|under|16.5||-120.0,2026-07-17,Courtney Vandersloot,Los Angeles Sparks @ Chicago Sky,PRA,UNDER,16.5,WIN,graded,final outcome WIN,
281,2026-07-16|nneka ogwumike|los angeles sparks @ chicago sky|pa|over|19.5||-122.0,2026-07-17,Nneka Ogwumike,Los Angeles Sparks @ Chicago Sky,PA,OVER,19.5,WIN,graded,final outcome WIN,
282,2026-07-16|courtney vandersloot|los angeles sparks @ chicago sky|ra|under|7.5||-138.0,2026-07-17,Courtney Vandersloot,Los Angeles Sparks @ Chicago Sky,RA,UNDER,7.5,WIN,graded,final outcome WIN,
283,2026-07-16|shakira austin|portland fire @ washington mystics|pra|under|28.5||-125.0,2026-07-16,Shakira Austin,Portland Fire @ Washington Mystics,PRA,UNDER,28.5,LOSS,graded,final outcome LOSS,
284,2026-07-16|azzi fudd|new york liberty @ dallas wings|pts|under|14.5||-116.0,2026-07-16,Azzi Fudd,New York Liberty @ Dallas Wings,PTS,UNDER,14.5,PENDING,game_mapping_failed,player exists in actuals warehouse but not on archive date,player-game actual unavailable
285,2026-07-16|rhyne howard|atlanta dream @ toronto tempo|pts|under|19.5||-128.0,2026-07-17,Rhyne Howard,Atlanta Dream @ Toronto Tempo,PTS,UNDER,19.5,WIN,graded,final outcome WIN,
286,2026-07-16|nneka ogwumike|los angeles sparks @ chicago sky|pra|over|28.5||-108.0,2026-07-17,Nneka Ogwumike,Los Angeles Sparks @ Chicago Sky,PRA,OVER,28.5,WIN,graded,final outcome WIN,
287,2026-07-16|kamilla cardoso|los angeles sparks @ chicago sky|ra|under|11.5||-104.0,2026-07-17,Kamilla Cardoso,Los Angeles Sparks @ Chicago Sky,RA,UNDER,11.5,LOSS,graded,final outcome LOSS,
288,2026-07-16|kamilla cardoso|los angeles sparks @ chicago sky|reb|under|8.5||-102.0,2026-07-17,Kamilla Cardoso,Los Angeles Sparks @ Chicago Sky,REB,UNDER,8.5,LOSS,graded,final outcome LOSS,
289,2026-07-16|courtney vandersloot|los angeles sparks @ chicago sky|pr|under|11.5||-119.5,2026-07-17,Courtney Vandersloot,Los Angeles Sparks @ Chicago Sky,PR,UNDER,11.5,WIN,graded,final outcome WIN,
290,2026-07-16|azzi fudd|new york liberty @ dallas wings|pa|under|16.5||-105.5,2026-07-16,Azzi Fudd,New York Liberty @ Dallas Wings,PA,UNDER,16.5,PENDING,game_mapping_failed,player exists in actuals warehouse but not on archive date,player-game actual unavailable
291,2026-07-16|dominique malonga|seattle storm @ indiana fever|pts|under|16.5||-108.5,2026-07-17,Dominique Malonga,Seattle Storm @ Indiana Fever,PTS,UNDER,16.5,LOSS,graded,final outcome LOSS,
292,2026-07-16|courtney vandersloot|los angeles sparks @ chicago sky|pts|under|8.5||-111.5,2026-07-17,Courtney Vandersloot,Los Angeles Sparks @ Chicago Sky,PTS,UNDER,8.5,LOSS,graded,final outcome LOSS,
293,2026-07-16|angel reese|atlanta dream @ toronto tempo|pts|over|15.5||-126.0,2026-07-17,Angel Reese,Atlanta Dream @ Toronto Tempo,PTS,OVER,15.5,WIN,graded,final outcome WIN,
